4630712011003ANDREWS, ROBERT     08262001CHEVROLET           07000001958   0
4642323111008ANZIO, RAFELINO     09012001CHEVROLET           04560501978   0
4641323111041BLONDELL, BONNIE    09042001CHEVROLET           03560501988   1
4641023111067CLAFLIN, WAYNE R.   09012001CHEVROLET           04560501990   2
4630712012002COREY, SARAH D.     08272001CHEVROLET           06500501994   0
4642123112004CRACKLIN, GOODMAN   09012001CHEVROLET           14560501996   0
4630712012043DAVIES, RALPH O.    08262001CHEVROLET           03330001989   0
4642323112048DENNICK, DONNA      09012001CHEVROLET           06560251995   0
4641323113011EATON, ESTER B.     09012001CHEVROLET           13560501996   0
4641023113047FLANNERY, JAMES     09012001CHEVROLET           04500501992   0
4630712013062GENNERRO, TONY S.   08302001CHEVROLET           03200501989   0
4642123113066GOEBEL, NANCY K.    09022001CHEVROLET           06430501990   0
4642323113098HARTNETT, ROBERTO   09052001CHEVROLET           03260401988   0
4641023114024JOHNSON, JACK       09032001CHEVROLET           02560501985   0
4630712114046NORRIS, CHARLES S.  09052001CHEVROLET           08440001992   0
4630712014066REED, ROBERT B.     08272001CHEVROLET           07400501996   0
4641323114094WARNER, JACK        09042001CHEVROLET           08560501996   0
4630712111063CHELSEA, MARTHA S.  08302001DODGE BROS.         03500001935   0
4630712113043FARNSWORTH, WESLEY  09052001DODGE BROS.         11500001996   0
4641012914038LEVANDOWSKI, JILL   08282001DODGE BROS.         04300001988   1
4641023114047NOWAKOWSKI, ALFRED  09012001DODGE BROS.         06560501994   1
4642123114067RODRIGUEZ, ALONZO   09052001DODGE BROS.         10500501995   0
4641012341001ALBERT, CARL T.     08252001FORD                02550001991   2
4630112341031BEZZMEK, JENNIFER   08272001FORD                04550001995   2
4630312011033BLAKE, DONALD       08292001FORD                07220501989   1
4641012911056BYMANN, FREDRICK    08292001FORD                03300001994   1
4634212341061CALBERT, RONALD     09052001FORD                03550001993   2
4641412311080COOPER, JOHNATHAN   09052001FORD                12560001996   2
4641012342031DALTON, DAVID P.    08252001FORD                02340001990   2
4631012342091DUNLOP, RITA        08252001FORD                14500451996   2
4630312013003DYKES, CYNTHIA      08262001FORD                04100501987   1
4641012913026EPPLEY, DAVID       08282001FORD                04140001995   1
4634212343031ERKLE, ROSA         09032001FORD                03550201993   2
4641412313061GALLAGHER, CLARENCE 09042001FORD                10060001992   2
4630112344021IDZIOR, RAYMOND     09012001FORD                14600001996   2
4630312014022JENNINGS, WILLIAM   08262001FORD                06120401992   1
4634212344044METZ, ARNOLD E.     09012001FORD                13230001996   2
4641412314061PERRY, SHAMUS       09052001FORD                08950001994   2
4630112344084TORREZ, MARTIN      08272001FORD                05650001994   2
4630312014090TUTTLE, MARK        08292001FORD                07100501996   1
4640512911025AVERY, ALFRED A.    08292001HUDSON              02300001954   1
4641012211076COLWELL, RICHARD L. 08292001HUDSON              04300001940   1
4642512912024CYBORG, IZORE M.    09052001HUDSON              01300001949   1
4640512912085DOPPLER, RADAR O.   08302001HUDSON              03110001951   1
4641012213056FURNACE, DAVID      08292001HUDSON              05300001948   1
4642512913094HANCOCK, JONATHON   09032001HUDSON              03300001953   1
4640512914012HYATT, JANET F.     08302001HUDSON              01550001951   1
4641012214059PATTERSON, LENNI R. 08292001HUDSON              02500001946   1
4642401211010ASHLEY, WILLIAM B.  09022001PIERCE-ARROW        12400001932   2
4640401211045BONADIO, JAMES      09032001PIERCE-ARROW        11500001935   2
4641001211070COLE, CHARLES C.    09022001PIERCE-ARROW        10500001929   2
4632301212011CRAWFORD, TIMOTHY   09012001PIERCE-ARROW        10400001931   2
4642401212050DERBIN, DEANNA      09022001PIERCE-ARROW        16400251937   2
4640401213015EFFLEY, BAILY       09022001PIERCE-ARROW        14460451933   2
4641001213050FOREMAN, OTTO J.    09022001PIERCE-ARROW        09400001927   2
4632301213072GUNTHER, FREDERICK  09032001PIERCE-ARROW        12600001930   2
4642401214005HENNING, SONIA      09052001PIERCE-ARROW        13050001928   2
4640401214032KULKA, ROBERT C.    09042001PIERCE-ARROW        09700001934   2
4641001214053O'BOYLE, NIEL       09032001PIERCE-ARROW        15500001938   2
4632301214073SANCHEZ, HENRY      09012001PIERCE-ARROW        08300001925   2
4640401214115YACKLEY, YOURTO     09042001PIERCE-ARROW        10000001930   2
4637531101015ATKINSON, MARK      08272001STUDEBAKER          00500001958   1
4630731101055BUCKO, ONIEDA       08282001STUDEBAKER          02450001964   1
4630531111075COLEMAN, THOMAS     08272001STUDEBAKER          01670501961   1
4631531102012CURRIE, RAYMOND     08282001STUDEBAKER          01500251956   1
4637531102065DONNEHUE, PHILLIP   09042001STUDEBAKER          00540001966   1
4630731103025EGGERTON, AMANDA    08292001STUDEBAKER          03350001965   1
4630531113055FOWLER, KATHLEEN    08272001STUDEBAKER          02670501964   1
4631531103080HAINES, MARSHALL    08292001STUDEBAKER          02500251959   1
4637531104009HORNSBY, ROGERS     08252001STUDEBAKER          01675001962   1
4630731104035KURTZ, DONALD       08302001STUDEBAKER          03450001966   1
4630531114056O'BRIAN, PATRICK    08302001STUDEBAKER          03470501962   1
4631531104081SWARTZ, HECTOR      08282001STUDEBAKER          00750251954   1
